ts,ambient_temp,ambient_humidity,ambient_city,zap_temperatura,zap_velocidad_tambor,zap_velocidad_chip,zap_alimentacion,sec_temperatura,sec_humedad,sec_velocidad_aire,sec_estado,can_velocidad_molino,can_tamano_particula,can_estado,cam1_temperatura,cam1_humedad,cam1_co2,cam1_carga_kg,cam1_dias,cam1_ventilador,cam2_temperatura,cam2_humedad,cam2_co2,cam2_carga_kg,cam2_dias,cam2_ventilador,cam3_temperatura,cam3_humedad,cam3_co2,cam3_carga_kg,cam3_dias,cam3_ventilador,cam4_temperatura,cam4_humedad,cam4_co2,cam4_carga_kg,cam4_dias,cam4_ventilador
2026-05-21T11:26:20.742392+00:00,11.65,83.74,"Posadas, Misiones, Argentina",480.81,15.0,30.0,1,9.65,46.22,2.5,1,60.0,15.0,1,48.07,75.93,420.0,0.0,0.0,1,21.29,75.79,420.0,0.0,0.0,1,21.21,75.72,420.0,0.0,0.0,1,21.17,75.75,420.0,0.0,0.0,1
2026-05-21T11:26:30.749067+00:00,13.36,76.67,"Posadas, Misiones, Argentina",341.4,15.0,30.0,1,11.36,47.8,2.5,1,60.0,0.3,1,42.22,76.78,420.0,0.0,0.0,1,13.5,76.62,420.0,0.0,0.0,1,13.45,76.63,420.0,0.0,0.0,1,13.48,76.59,420.0,0.0,0.0,1
2026-05-21T11:26:40.754286+00:00,9.4,84.34,"Posadas, Misiones, Argentina",337.44,15.0,30.0,1,7.4,51.16,2.5,1,60.0,0.3,1,50.1,84.56,420.0,0.0,0.0,1,9.37,84.39,420.0,0.0,0.0,1,9.36,84.39,420.0,0.0,0.0,1,9.35,84.39,420.0,0.0,0.0,1
2026-05-21T11:26:50.763422+00:00,14.26,70.69,"Posadas, Misiones, Argentina",342.46,15.0,30.0,1,12.26,45.18,2.5,1,60.0,0.3,1,47.89,70.78,420.0,0.0,0.0,1,14.03,70.59,420.0,0.0,0.0,1,13.86,70.61,420.0,0.0,0.0,1,13.9,70.64,420.0,0.0,0.0,1
2026-05-21T11:27:00.764656+00:00,10.66,92.3,"Posadas, Misiones, Argentina",338.56,15.0,30.0,1,8.66,54.68,2.5,1,60.0,15.0,1,50.6,92.51,420.0,0.0,0.0,1,10.72,92.41,420.0,0.0,0.0,1,10.65,92.35,420.0,0.0,0.0,1,10.72,92.43,420.0,0.0,0.0,1
2026-05-21T11:27:10.765579+00:00,15.67,77.67,"Posadas, Misiones, Argentina",343.07,15.0,30.0,1,13.67,48.33,2.5,1,60.0,15.0,1,42.23,78.41,420.0,0.0,0.0,1,14.13,78.22,420.0,0.0,0.0,1,14.06,78.25,420.0,0.0,0.0,1,13.97,78.24,420.0,0.0,0.0,1
2026-05-21T11:27:20.766083+00:00,14.16,87.68,"Posadas, Misiones, Argentina",341.92,15.0,30.0,1,12.16,52.61,2.5,1,60.0,0.3,1,44.2,87.76,420.0,0.0,0.0,1,14.23,87.62,420.0,0.0,0.0,1,14.18,87.56,420.0,0.0,0.0,1,14.19,87.62,420.0,0.0,0.0,1
2026-05-21T11:27:30.767064+00:00,12.13,96.0,"Posadas, Misiones, Argentina",339.96,15.0,30.0,1,10.13,56.25,2.5,1,60.0,0.3,1,44.69,96.12,420.0,0.0,0.0,1,11.89,96.0,420.0,0.0,0.0,1,12.12,95.97,420.0,0.0,0.0,1,12.04,96.03,420.0,0.0,0.0,1
2026-05-21T11:27:40.767742+00:00,19.49,71.71,"Posadas, Misiones, Argentina",347.12,15.0,30.0,1,17.49,45.55,2.5,1,60.0,15.0,1,46.53,71.61,420.0,0.0,0.0,1,19.62,71.49,420.0,0.0,0.0,1,19.61,71.45,420.0,0.0,0.0,1,19.56,71.38,420.0,0.0,0.0,1
2026-05-21T11:27:50.768725+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.16,15.0,30.0,1,15.5,49.68,2.5,1,60.0,0.3,1,44.4,81.19,420.0,0.0,0.0,1,17.31,80.98,420.0,0.0,0.0,1,17.35,80.99,420.0,0.0,0.0,1,17.36,81.02,420.0,0.0,0.0,1
2026-05-21T11:28:00.769423+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.51,15.0,30.0,1,15.5,49.69,2.5,1,60.0,15.0,1,44.3,81.14,420.0,0.0,0.0,1,17.24,81.03,420.0,0.0,0.0,1,17.36,81.02,420.0,0.0,0.0,1,17.42,80.96,420.0,0.0,0.0,1
2026-05-21T11:28:10.770279+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.74,15.0,30.0,1,15.5,49.66,2.5,1,60.0,0.3,1,44.35,81.13,420.0,0.0,0.0,1,17.49,80.96,420.0,0.0,0.0,1,17.43,81.0,420.0,0.0,0.0,1,17.55,80.97,420.0,0.0,0.0,1
2026-05-21T11:28:20.771908+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.35,15.0,30.0,1,15.5,49.69,2.5,1,60.0,15.0,1,44.28,81.18,420.0,0.0,0.0,1,17.45,80.96,420.0,0.0,0.0,1,17.58,80.98,420.0,0.0,0.0,1,17.49,80.97,420.0,0.0,0.0,1
2026-05-21T11:28:30.773372+00:00,17.5,81.0,"Posadas, Misiones, Argentina",346.16,15.0,30.0,1,15.5,49.69,2.5,1,60.0,15.0,1,44.39,81.14,420.0,0.0,0.0,1,17.34,81.02,420.0,0.0,0.0,1,17.48,81.04,420.0,0.0,0.0,1,17.39,80.96,420.0,0.0,0.0,1
2026-05-21T11:28:40.775332+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.71,15.0,30.0,1,15.5,49.71,2.5,1,60.0,0.3,1,44.3,81.17,420.0,0.0,0.0,1,17.42,81.01,420.0,0.0,0.0,1,17.44,81.01,420.0,0.0,0.0,1,17.42,80.99,420.0,0.0,0.0,1
2026-05-21T11:28:50.777005+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.32,15.0,30.0,1,15.5,49.7,2.5,1,60.0,15.0,1,44.23,81.2,420.0,0.0,0.0,1,17.49,81.0,420.0,0.0,0.0,1,17.55,80.99,420.0,0.0,0.0,1,17.38,80.96,420.0,0.0,0.0,1
2026-05-21T11:29:00.777709+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.36,15.0,30.0,1,15.5,49.7,2.5,1,60.0,0.3,1,44.32,81.12,420.0,0.0,0.0,1,17.51,81.0,420.0,0.0,0.0,1,17.37,81.05,420.0,0.0,0.0,1,17.51,80.97,420.0,0.0,0.0,1
2026-05-21T11:29:10.778740+00:00,17.5,81.0,"Posadas, Misiones, Argentina",346.18,15.0,30.0,1,15.5,49.68,2.5,1,60.0,15.0,1,44.36,81.13,420.0,0.0,0.0,1,17.37,81.03,420.0,0.0,0.0,1,17.53,81.03,420.0,0.0,0.0,1,17.52,81.02,420.0,0.0,0.0,1
2026-05-21T11:29:20.781231+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.74,15.0,30.0,1,15.5,49.67,2.5,1,60.0,0.3,1,44.29,81.17,420.0,0.0,0.0,1,17.48,80.98,420.0,0.0,0.0,1,17.48,81.01,420.0,0.0,0.0,1,17.5,80.95,420.0,0.0,0.0,1
2026-05-21T11:29:30.781742+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.79,15.0,30.0,1,15.5,49.68,2.5,1,60.0,15.0,1,44.29,81.21,420.0,0.0,0.0,1,17.48,81.02,420.0,0.0,0.0,1,17.35,80.94,420.0,0.0,0.0,1,17.49,81.0,420.0,0.0,0.0,1
2026-05-21T11:29:40.782983+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.83,15.0,30.0,1,15.5,49.68,2.5,1,60.0,0.3,1,44.29,81.13,420.0,0.0,0.0,1,17.43,81.0,420.0,0.0,0.0,1,17.53,81.03,420.0,0.0,0.0,1,17.6,81.01,420.0,0.0,0.0,1
2026-05-21T11:29:50.784277+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.83,15.0,30.0,1,15.5,49.71,2.5,1,60.0,15.0,1,44.29,81.21,420.0,0.0,0.0,1,17.44,80.96,420.0,0.0,0.0,1,17.51,81.01,420.0,0.0,0.0,1,17.4,81.03,420.0,0.0,0.0,1
2026-05-21T11:30:00.785116+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.24,15.0,30.0,1,15.5,49.67,2.5,1,60.0,0.3,1,44.26,81.19,420.0,0.0,0.0,1,17.45,81.02,420.0,0.0,0.0,1,17.44,81.03,420.0,0.0,0.0,1,17.42,80.97,420.0,0.0,0.0,1
2026-05-21T11:30:10.785953+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.59,15.0,30.0,1,15.5,49.7,2.5,1,60.0,0.3,1,44.22,81.17,420.0,0.0,0.0,1,17.57,81.01,420.0,0.0,0.0,1,17.42,81.04,420.0,0.0,0.0,1,17.51,81.01,420.0,0.0,0.0,1
2026-05-21T11:30:20.786467+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.97,15.0,30.0,1,15.5,49.68,2.5,1,60.0,0.3,1,44.31,81.17,420.0,0.0,0.0,1,17.46,81.0,420.0,0.0,0.0,1,17.46,81.01,420.0,0.0,0.0,1,17.49,80.94,420.0,0.0,0.0,1
2026-05-21T11:30:30.787097+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.3,15.0,30.0,1,15.5,49.71,2.5,1,60.0,15.0,1,44.29,81.17,420.0,0.0,0.0,1,17.5,81.01,420.0,0.0,0.0,1,17.47,80.95,420.0,0.0,0.0,1,17.56,81.03,420.0,0.0,0.0,1
2026-05-21T11:30:40.788580+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.96,15.0,30.0,1,15.5,49.7,2.5,1,60.0,0.3,1,44.38,81.16,420.0,0.0,0.0,1,17.22,81.04,420.0,0.0,0.0,1,17.44,81.02,420.0,0.0,0.0,1,17.46,81.03,420.0,0.0,0.0,1
2026-05-21T11:30:50.789815+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.04,15.0,30.0,1,15.5,49.69,2.5,1,60.0,15.0,1,44.17,81.18,420.0,0.0,0.0,1,17.33,80.96,420.0,0.0,0.0,1,17.47,81.02,420.0,0.0,0.0,1,17.45,81.03,420.0,0.0,0.0,1
2026-05-21T11:31:00.791308+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.81,15.0,30.0,1,15.5,49.68,2.5,1,60.0,15.0,1,44.29,81.16,420.0,0.0,0.0,1,17.52,80.99,420.0,0.0,0.0,1,17.45,81.02,420.0,0.0,0.0,1,17.45,80.98,420.0,0.0,0.0,1
2026-05-21T11:31:10.792485+00:00,17.5,81.0,"Posadas, Misiones, Argentina",346.12,15.0,30.0,1,15.5,49.67,2.5,1,60.0,0.3,1,44.24,81.17,420.0,0.0,0.0,1,17.49,81.01,420.0,0.0,0.0,1,17.43,80.99,420.0,0.0,0.0,1,17.39,81.0,420.0,0.0,0.0,1
2026-05-21T11:31:20.793430+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.71,15.0,30.0,1,15.5,49.71,2.5,1,60.0,15.0,1,44.28,81.15,420.0,0.0,0.0,1,17.46,80.97,420.0,0.0,0.0,1,17.49,80.97,420.0,0.0,0.0,1,17.42,81.02,420.0,0.0,0.0,1
2026-05-21T11:31:30.794071+00:00,17.5,81.0,"Posadas, Misiones, Argentina",345.31,15.0,30.0,1,15.5,49.67,2.5,1,60.0,15.0,1,44.28,81.17,420.0,0.0,0.0,1,17.5,81.01,420.0,0.0,0.0,1,17.48,81.02,420.0,0.0,0.0,1,17.5,80.97,420.0,0.0,0.0,1
